mobi_customer_id,filled_form_id,customer_label,location_code,chain
2435174,167707859,ROYAL REALTY CORP,2755007,imperial
2435174,167707860,ROYAL REALTY CORP.,357874,imperial
5293461,167707861,ALFALFA JERSEY CITY,ALF160,imperial
1912456,167707862,AMY'S BREAD,AMY001,imperial
1717241,167707863,AMY RUTH'S,AMY004,imperial
1912456,167707868,AMY'S BREAD,AMYOO2,imperial
1711135,167707870,ARROW PAPER CO.,ARR001,imperial
5501106,167707871,BAREBURGER- FOREST HILLS,BAR080,imperial
5501106,167707872,BAREBURGER-RIDGEWOOD NJ,BAR103,imperial
5501106,167707873,BAREBURGER,BAR430,imperial
1711161,167707874,BONDI SUSHI,BONNBRO,imperial
1711161,167707875,BONDI SUSHI,BONNY1,imperial
1711161,167707876,BONDI SUSHI,BONNY4,imperial
1711161,167707877,BONDI SUSHI,BONNY5,imperial
1711161,167707878,BONDI SUSHI,BONNY7,imperial
4479853,167707879,BONDI SUSHI-156 N 4TH ST,BONNYBK,imperial
1912459,167707880,BROOKLYN ROASTING COMPANY,BRC098,imperial
1717328,167707881,BROOKLYN ROASTING WORKS LLC,BRO097,imperial
1717291,167707882,BKLYN LARDER LLC.,BRO110,imperial
3259803,167707883,CHA CHA MATCHA-DUMBO,CHA163,imperial
1717425,167707884,COCOA BAKERY,COC001,imperial
1717440,167707885,CRAVE FISH BAR,CRA003,imperial
1717444,167707886,CUB MARKET,CUB027,imperial
3827673,167707887,DEVOCION WILLIAMSBURG,DEVO1,imperial
3795234,167707888,DEVOCION 20TH STREET LLC,DEVO2,imperial
4530952,167707889,DEVOCION LEXINGTON LLC,DEVO5,imperial
5483134,167707890,CAFÉ DEVOCION NOMAD,DEVO6,imperial
5080427,167707891,SUNLIFE ORGANICS 17 LLC,E229167,imperial
5080427,167707892,"SUNLIFE ORGANICS 27, LLC",E230624,imperial
1717521,167707893,"EVELYN HILL, INC",EHI001,imperial
5470861,167707894,FARM TO PEOPLE,FAR052,imperial
1717558,167707895,GARDEN CAFE,GAR027,imperial
3827665,167707896,GOOD NIGHT,GOO027,imperial
1717575,167707897,GOWANUS HOSPITALITY,GOW051,imperial
1912469,167707898,GRAND SK CORP.,GRA058,imperial
1912469,167707899,GRAND SK CORP.,GRA060,imperial
1711255,167707900,GRAND BANKS,GRA160,imperial
1711262,167707901,GREENWICH COUNTRY DAY SCHOOL,GRE002,imperial
1717579,167707902,GREEN & TONIC-GREENWICH,GRE031,imperial
1711278,167707903,HEARTH RESTAURANT,HEA024,imperial
1711287,167707904,HERITAGE GRAND BAKERY,HER031,imperial
1711289,167707905,ISLAND OYSTER,ISL160,imperial
1717639,167707906,JAEGER HAUS,JAEG27,imperial
1717506,167707907,THE EAST HARLEM SCHOOL,JCF025,imperial
5501139,167707908,JEWISH HOME AT ROCKLEIGH,JHR020,imperial
1711297,167707909,JOE & THE JUICE NEW YORK LLC,JOE1000,jtj
1711297,167707910,JOE & THE JUICE NEW YORK LLC,JOE1030,jtj
1711297,167707911,JOE & THE JUICE NEW YORK LLC,JOE1215,jtj
1711297,167707912,JOE & THE JUICE NEW YORK LLC,JOE1451,jtj
1711297,167707913,JOE & THE JUICE NEW YORK LLC,JOE1770,jtj
1711297,167707914,JOE & THE JUICE NEW YORK LLC,JOE1950,jtj
1711297,167707915,JOE & THE JUICE NEW YORK LLC,JOE2000,jtj
1711297,167707916,JOE & THE JUICE NEW YORK LLC,JOE2315,jtj
1711297,167707917,JOE & THE JUICE NEW YORK LLC,JOE2960,jtj
1711297,167707918,JOE & THE JUICE NEW YORK LLC,JOE300,jtj
1711297,167707925,JOE & THE JUICE NEW YORK LLC,JOE4300,jtj
1711297,167707926,JOE & THE JUICE NEW YORK LLC,JOE6501,jtj
1711297,167707927,JOE & THE JUICE NEW YORK LLC,JOE7263,jtj
1711297,167707928,JOE & THE JUICE NEW YORK LLC,JTJ300,jtj
1711297,167707929,JOE & THE JUICE NEW YORK LLC,JTJ549,jtj
1717435,167707930,COOLER CLEANSE,JUI001,imperial
1717435,167707931,COOLER CLEANSE,JUI002,imperial
1711304,167707932,JUICE GENERATION 7 (BROADWAY),JUI007,imperial
1711304,167707933,JUICE GENERATION 5 (3RD AVE),JUI011,imperial
1711304,167707934,JUICE GENERATION 6 (COLUMBUS),JUI018,imperial
1711304,167707941,JUICE GENERATION 9 (23RD ST)JU,JUI027,imperial
1711304,167707943,JUICE GENERATION 8 (42ND ST),JUI033,imperial
1711304,167707944,JUICE GENERATION 10 (WLMSBURG),JUI034,imperial
1711304,167707945,JUICE GENERATION (E18 ST),JUI037,imperial
1711304,167707946,JUICE GENERATION (MAIDEN LN),JUI038,imperial
1711304,167707947,JUICE GENERATION (599 LEX),JUI039,imperial
1711304,167707948,JUICE GENERATION 16 (BLEEKER),JUI044,imperial
1711304,167707949,JUICE GENERATION- TIMES SQUARE,JUI046,imperial
1711304,167707950,JUICE GENERATION (PARK AVE),JUI054,imperial
1711304,167707951,JUICE GENERATION 22 (COURT ST),JUI056,imperial
1711304,167707952,JUICE GENERATION 21,JUI1186,imperial
1711304,167707953,JUICE GENERATION #19 (ASTOR),JUI122,imperial
1711304,167707954,JUICE GENERATION 23,JUI350,imperial
5501146,167707955,LITTLE BEET W50,LB1001,imperial
5501146,167707956,LITTLE BEET 630 OLD COUNTRY,LB1002,imperial
5501146,167707957,LITTLE BEET 320PARK,LB1003,imperial
1717724,167707958,LITTLE BEET 1140 BROADWAY,LB1005,imperial
5501146,167707959,LITTLE BEET 125 WESTCHESTER,LB1009,imperial
5472682,167707960,LITTLE BEET BRYANT PARK,LB1010,imperial
3025168,167707961,LITTLE BEET 125 PARK,LB1011,imperial
5501146,167707962,LITTLE BEET NEWPORT,LB1013,imperial
5501146,167707963,LITTLE BEET 635 POST,LB1019,imperial
5501146,167707964,LITTLE BEET 495 K,LB1022,imperial
5501146,167707965,LITTLE BEET 1291 1ST,LBE1021,imperial
5501146,167707966,LITTLE BEET 333 PARK AVE,LBT1001,imperial
1717717,167707967,LEO'S BAGELS,LEO008,imperial
1711320,167707968,LIGHTHOUSE,LIG031,imperial
1711315,167707969,L'IMPRIMERIE,LIM052,imperial
4470862,167707970,LITTLE EGG,LITE27,imperial
4117996,167707971,LE PAIN QUOTIDIEN COMMISSARY,LPQ100,lpq
4078569,167707972,LEPAIN QUOTIDIEN 1131 MADISON,LPQ114,lpq
3449383,167707973,LEPAIN QUOTIDIEN 1270 FIRST AV,LPQ118,lpq
3449386,167707974,LEPAIN QUOTIDIEN 1309 LEX CARN,LPQ136,lpq
4087495,167707975,LE PAIN QUOTIDIEN 85 BROAD ST,LPQ153,lpq
3447213,167707976,LE PAIN QUOTIDIEN 395 SOUTH EN,LPQ156,lpq
4102069,167707977,LE PAIN QUOTIDIEN 9630 S.SANTA,LPQ201,lpq
4102080,167707978,LE PAIN QUOTIDIEN 175 NORTH IN,LPQ211,lpq
4102085,167707979,LE PAIN QUOTIDIEN 113 N. LARCH,LPQ212,lpq
1715088,167707980,LE PAIN QUOTIDIEN-801 BROADWAY,LPQ216,lpq
4280756,167707981,LEPAIN QUOTIDIEN 4950 FROLICH,LPQ300,lpq
3446264,167708002,LEPAIN QUOTIDIEN 921 BROADWAY,LPQ3002,lpq
3464818,167708003,LEPAIN QUOTIDIEN 1800 BROADWAY,LPQ3003,lpq
3445128,167708004,LEPAIN QUOTIDIEN 1535 3RD AVE,LPQ3004,lpq
3445140,167708005,LEPAIN QUOTIDIEN 2161 BROADWAY,LPQ3005,lpq
3464821,167708006,LEPAIN QUOTIDIEN 1377 6TH AVE,LPQ3007,lpq
3464703,167708007,LEPAIN QUOTIDIEN 400 5TH,LPQ3008,lpq
3464825,167708008,LEPAIN QUOTIDIEN 1400 BROADWAY,LPQ3009,lpq
3445144,167708009,LEPAIN QUOTIDIEN 685 3RD,LPQ3010,lpq
3448837,167708010,LEPAIN QUOTIDIEN 370 LEXINGTON,LPQ3011,lpq
3445177,167708011,LEPAIN QUOTIDEIN 339 7TH,LPQ3013,lpq
4083564,167708012,LE PAIN QUOTIDIEN 800 17TH,LPQ308,lpq
3424763,167708013,LE PAIN QUOTIDIEN 975 F STREET,LPQ309,lpq
4364552,167708015,LE PAIN QUOTIDIEN 3425 MAIN HW,LPQ351,lpq
3447102,167708016,LE PAIN QUOTIDIEN 382 GREENWIC,LPQ403,lpq
3514360,167708017,LE PAIN QUOTIDIEN-1425 WALNUT,LPQ501,lpq
3514361,167708018,LE PAIN QUOTIDIEN 801 WALNUT,LPQ502,lpq
1711334,167708019,MARLOW & DAUGHTERS,MAR132,imperial
1711339,167708020,MERMAID'S GARDEN INC.,MER644,imperial
1717760,167708021,MIMI CHENG'S DUMPLINGS,MIM098,imperial
2191253,167708022,MOLLIE STONE'S CORP OFFICE,MO00026,imperial
1711351,167708023,MOLSBERRY MARKET,MO00031,imperial
1717848,167708024,PAYLESS MARKET PIONEER,MO00039,imperial
3516398,167708025,"SCOTTY'S MARKET, INC.",MO00047,imperial
1715091,167708026,MOLLIE STONE'S CORP OFFICE,MO00076,imperial
1717513,167708027,NUGGET MARKET -ELK GROVE [008],MO00183,imperial
1717811,167708028,NUGGET MARKET CORPORATE OFFICE,MO00194,imperial
1717913,167708029,SPD MARKET NEVADA CITY,MO00205,imperial
5503773,167708030,PACIFIC MARKET,MO00207,imperial
2572565,167708031,FANTASTIC JUICES,MO00210,imperial
1717813,167708032,NUGGET MARKET - TIBURON [014],MO00232,imperial
1717814,167708033,NUGGET MARKET - SONOMA [017],MO00247,imperial
1711217,167708034,DRIVER'S MARKET,MO00249,imperial
5333160,167708035,FIRCREST MARKET,MO00378,imperial
5425539,167708036,SAM'S GENERAL STORE - ST. HELE,MO00387,imperial
1717837,167708037,MAR-VAL FOOD STORES PACIFIC MA,MO90035,imperial
1717837,167708039,MAR-VAL FOOD STORES PACIFIC MA,MO90036,imperial
1711130,167708040,MODERN LOVE BROOKLYN,MOD031,imperial
1717786,167708041,MOSS CAFE,MOS041,imperial
2373200,167708042,NITEHAWK PROSPECT PARK,NITEPPW,imperial
4415335,167708043,O'L DAYS,OLD098,imperial
5501157,167708044,ONE GIRL COOKIES DUMBO,ONE002,imperial
1711399,167708045,PISTACHE NYC INC,PIS031,imperial
2191249,167708046,BUN MEE-FILLMORE,PP11653,imperial
1717236,167708047,AMDA CAFE,PP13194,imperial
4532014,167708048,AMY'S DRIVE THRU-ROHNERT PARK,PP25332,imperial
3465483,167708049,PLANT POWER,PP26357,imperial
4532014,167708050,AMY'S DRIVE THRU-ROHNERT PARK,PP26375,imperial
4532014,167708051,AMY'S DRIVE THRU-ROHNERT PARK,PP27585,imperial
1711254,167708052,GRACIAS MADRE-W HOLLYWOOD,PP28190,imperial
3514745,167708053,PLANT POWER-UCSD-DARK DROP,PP29141,imperial
4744966,167708061,CREAM PAN-FOUNTAIN VALLEY,PP29379,imperial
4152010,167708062,BACON BACON-SFO INT'L AIRPORT,PP29410,imperial
1711510,167708063,**WESTERN PAPER DISTRIBUTORS-I,PP29727,imperial
5080427,167708064,SUNLIFE ORGANICS 1 - POINT DUM,PP30835,imperial
5080427,167708065,SUNLIFE ORGANICS 2-THOUSAND OA,PP30837,imperial
5080427,167708067,SUNLIFE ORGANICS 4-CROSS CREEK,PP30840,imperial
5080427,167708068,SUNLIFE ORGANICS 7-CENTURY CIT,PP30841,imperial
5080427,167708069,SUNLIFE ORGANICS 8-LARKSPUR+,PP30842,imperial
5080427,167708070,SUNLIFE ORGANICS 13-W HOLLYWOO,PP30843,imperial
5080427,167708071,SUNLIFE ORGANICS 15-MANHATTAN,PP30844,imperial
1717933,167708072,SUNLIFE ORGANICS-USC VILLAGE+,PP31038,imperial
5080427,167708073,SUNLIFE ORGANICS 3 - CALABASAS,PP90141,imperial
5080427,167708075,SUNLIFE ORGANICS 23 - DEL MAR,PP90309,imperial
5080427,167708076,SUNLIFE ORGANICS 19 - LOS ANGE,PP90372,imperial
3976929,167708077,PLANT POWER - REDLANDS,PP90387,imperial
4535233,167708078,HOLEY GRAIL DONUTS-LB,PP90447,imperial
5253236,167708079,RECREATION CAFÉ,PP90476,imperial
5080427,167708080,SUNLIFE ORGANICS 22 - NASHVILL,PP90503,imperial
2191249,167708081,BUN MEE- STEINER,PP90831,imperial
5472731,167708082,REUNION & COMPANY,PP90935,imperial
5080427,167708083,SUNLIFE ORGANICS 21 - NASHVILL,PP91094,imperial
5080427,167708084,SUNLIFE ORGANICS 25 - NEW YORK,PP91200,imperial
3465483,167708085,PLANT POWER - SACRAMENTO NEW,PP91207,imperial
5080427,167708086,SUNLIFE ORGANICS 26 - BOULDER,PP91349,imperial
2521699,167708087,LOFTY COFFEE CO.,PR02961,imperial
2521699,167708088,LOFTY COFFEE CO.,PR02962,imperial
2521699,167708089,LOFTY COFFEE CO.,PR02963,imperial
2521699,167708090,LOFTY COFFEE CO.,PR02965,imperial
2521699,167708091,LOFTY COFFEE CO.,PR02966,imperial
1711325,167708092,WE OLIVE LOS GATOS,PR04224,imperial
5080427,167708093,SUNLIFE ORGANICS,PR09726,imperial
1711405,167708095,PS KITCHEN,PSK032,imperial
1711287,167708096,SAHADI'S,SAH052,imperial
2405632,167708097,SAN PEDRO,SAN31,imperial
5080427,167708098,SUNLIFE ORGANICS,SUN3001,imperial
2390494,167708099,MORENOS MEXICAN FOOD,T100537,imperial
1717803,167708100,NEWPORT BEACH TENNIS CLUB,T101022,imperial
4849647,167708101,HIGHLY LIKELY HIGHLAND PARK,T103100,imperial
4535410,167708102,HOLEY GRAIL DONUTS-SANTA MONIC,T103428,imperial
4535410,167708103,HOLEY GRAIL DONUTS-SANTA MONIC,T103429,imperial
4535233,167708105,HOLEY GRAIL DONUTS-LA-PICO,T103430,imperial
1717709,167708107,LARES,T104133,imperial
1717542,167708108,FIREHOUSE (THE),T104260,imperial
1711125,167708109,ACTIVE CULTURE - LAGUNA BEACH,T104546,imperial
1717894,167708110,SANTA BARBARA ROASTING,T104697,imperial
1717844,167708111,PARADISE BAKERY & CAFE,T106277,imperial
1717230,167708112,ACTIVE CULTURE - SAN CLEMENTE,T106379,imperial
5501104,167708113,AMERICAN JUNKIE - HERMOSA,T106783,imperial
2394323,167708114,DUNE LOS ANGELES,T107057,imperial
5259366,167708115,TOPANGA LIVING CAFE,T107790,imperial
2394450,167708119,DUNE DOWNTOWN,T107836,imperial
1711132,167708120,AMERICAN JUNKIE - SAN DIEGO,T107881,imperial
5350735,167708121,ELF CAFE,T108034,imperial
1711281,167708122,HIGHLY LIKELY CAFE(WEST ADAMS),T108334,imperial
1912454,167708123,ACTIVE CULTURE - OR - BEND,T108479,imperial
2385797,167708124,SECTIONS FINE MEATS,T109115,imperial
4951390,167708125,ENDLESS COLOR TOPANGA,T109675,imperial
4850740,167708126,ALFALFA LARCHMONT LLC,T109737,imperial
1912454,167708127,ACTIVE CULTURE - NOVATO,T110149,imperial
1912454,167708128,ACTIVE CULTURE - LONG BEACH,T110225,imperial
5140452,167708129,SINIZKI,T900863,imperial
1717434,167708130,THE BEAR CANTINA INC,TBC027,imperial
4273784,167708131,THIS BOWL NEW YORK,TBNY65,imperial
1711455,167708132,TERROIR TRIBECA,TER041,imperial
2455335,167708133,TACOVISION-TURTLEBAY,TUC023,imperial
5503790,167708134,UNION MARKET BEDFORD,UMB045,imperial
5503790,167708135,UNION MARKET,UNI004,imperial
5503790,167708136,UNION MARKET,UNI045,imperial
5503790,167708137,UNION MARKET,UNI058,imperial
5503790,167708138,UNION MARKET,UNI066,imperial
1718093,167708139,UNION MARKET COURT ST,UNI078,imperial
5503791,167708140,WASABI SUSHI BENTO,WAS014,imperial
5503791,167708141,WASABI SUSHI & BENTO LLC,WAS561,imperial
1711287,167708142,WYTHE HOTEL,WYT001,imperial
